iter	Logloss	Accuracy	Precision	Recall	F1
0	0.6551455604	0.7932489451	0.7509727626	0.6992753623	0.7242026266
1	0.6215708076	0.7932489451	0.7509727626	0.6992753623	0.7242026266
2	0.5815745661	0.8016877637	0.7586206897	0.7173913043	0.7374301676
3	0.5423129139	0.8045007032	0.7604562738	0.7246376812	0.7421150278
4	0.5169618881	0.811533052	0.7795275591	0.7173913043	0.7471698113
5	0.506413019	0.8101265823	0.7764705882	0.7173913043	0.7457627119
6	0.4905760535	0.811533052	0.77734375	0.7210144928	0.7481203008
7	0.473606558	0.8157524613	0.7843137255	0.7246376812	0.7532956685
8	0.4685885958	0.805907173	0.7613636364	0.7282608696	0.7444444444
9	0.4545052382	0.8255977496	0.8089430894	0.7210144928	0.7624521073
10	0.446389761	0.8270042194	0.8174273859	0.7137681159	0.7620889749
11	0.4440233586	0.8255977496	0.8089430894	0.7210144928	0.7624521073
12	0.43675636	0.8298171589	0.8189300412	0.7210144928	0.7668593449
13	0.4339913001	0.8298171589	0.8189300412	0.7210144928	0.7668593449
14	0.4284573035	0.8340365682	0.8237704918	0.7282608696	0.7730769231
15	0.4273443733	0.8326300985	0.8204081633	0.7282608696	0.7715930902
16	0.4258126007	0.8312236287	0.8170731707	0.7282608696	0.7701149425
17	0.421721235	0.8326300985	0.8204081633	0.7282608696	0.7715930902
18	0.4197599375	0.8340365682	0.8237704918	0.7282608696	0.7730769231
19	0.4180235091	0.8340365682	0.8237704918	0.7282608696	0.7730769231
20	0.417945707	0.8326300985	0.8230452675	0.7246376812	0.7707129094
21	0.4162485458	0.8326300985	0.8230452675	0.7246376812	0.7707129094
22	0.413528326	0.8312236287	0.8196721311	0.7246376812	0.7692307692
23	0.4121832648	0.8326300985	0.8230452675	0.7246376812	0.7707129094
24	0.4107148855	0.8326300985	0.8230452675	0.7246376812	0.7707129094
25	0.4090688963	0.8340365682	0.8237704918	0.7282608696	0.7730769231
26	0.4086269277	0.8340365682	0.8237704918	0.7282608696	0.7730769231
27	0.4080634734	0.8326300985	0.8204081633	0.7282608696	0.7715930902
28	0.4077442251	0.8326300985	0.8230452675	0.7246376812	0.7707129094
29	0.4031814259	0.835443038	0.8271604938	0.7282608696	0.774566474
30	0.4026114948	0.8340365682	0.826446281	0.7246376812	0.7722007722
31	0.4023252482	0.8340365682	0.826446281	0.7246376812	0.7722007722
32	0.3988968661	0.8340365682	0.826446281	0.7246376812	0.7722007722
33	0.3983599935	0.8340365682	0.826446281	0.7246376812	0.7722007722
34	0.3982880243	0.8340365682	0.826446281	0.7246376812	0.7722007722
35	0.3980774083	0.8340365682	0.826446281	0.7246376812	0.7722007722
36	0.39790725	0.8368495077	0.8278688525	0.731884058	0.7769230769
37	0.3964637126	0.8368495077	0.8278688525	0.731884058	0.7769230769
38	0.3962954171	0.8368495077	0.8278688525	0.731884058	0.7769230769
39	0.3961929067	0.8368495077	0.8278688525	0.731884058	0.7769230769
40	0.39610412	0.8368495077	0.8278688525	0.731884058	0.7769230769
41	0.3961009766	0.8368495077	0.8278688525	0.731884058	0.7769230769
42	0.3953870568	0.8368495077	0.8278688525	0.731884058	0.7769230769
43	0.3951973852	0.8368495077	0.8278688525	0.731884058	0.7769230769
44	0.3938275697	0.8368495077	0.8278688525	0.731884058	0.7769230769
45	0.3923237431	0.8382559775	0.8312757202	0.731884058	0.7784200385
46	0.3908219873	0.8382559775	0.8312757202	0.731884058	0.7784200385
47	0.3901234402	0.8382559775	0.8312757202	0.731884058	0.7784200385
48	0.3901142321	0.8382559775	0.8312757202	0.731884058	0.7784200385
49	0.390111197	0.8382559775	0.8312757202	0.731884058	0.7784200385
50	0.3898734913	0.8382559775	0.8312757202	0.731884058	0.7784200385
51	0.3898318917	0.8382559775	0.8312757202	0.731884058	0.7784200385
52	0.3897193492	0.8382559775	0.8312757202	0.731884058	0.7784200385
53	0.3889726428	0.8382559775	0.8312757202	0.731884058	0.7784200385
54	0.3881091584	0.8382559775	0.8312757202	0.731884058	0.7784200385
55	0.3877184851	0.8368495077	0.8305785124	0.7282608696	0.7760617761
56	0.3876055457	0.8382559775	0.8312757202	0.731884058	0.7784200385
57	0.3874464673	0.8382559775	0.8312757202	0.731884058	0.7784200385
58	0.3874409313	0.8382559775	0.8312757202	0.731884058	0.7784200385
59	0.3859836788	0.8396624473	0.8319672131	0.7355072464	0.7807692308
60	0.3858678276	0.8396624473	0.8319672131	0.7355072464	0.7807692308
61	0.3856543257	0.8396624473	0.8319672131	0.7355072464	0.7807692308
62	0.3854629816	0.8396624473	0.8319672131	0.7355072464	0.7807692308
63	0.3841023968	0.8382559775	0.8312757202	0.731884058	0.7784200385
64	0.3833231064	0.8382559775	0.8312757202	0.731884058	0.7784200385
65	0.3827353252	0.8382559775	0.8312757202	0.731884058	0.7784200385
66	0.3824136758	0.8382559775	0.8312757202	0.731884058	0.7784200385
67	0.3800012413	0.835443038	0.8298755187	0.7246376812	0.7736943907
68	0.3768540508	0.8368495077	0.8305785124	0.7282608696	0.7760617761
69	0.3768538956	0.8368495077	0.8305785124	0.7282608696	0.7760617761
