iter	Passed	Remaining
0	87	6031
1	118	4029
2	150	3363
3	193	3184
4	250	3258
5	313	3345
6	342	3085
7	375	2910
8	402	2725
9	436	2621
10	471	2527
11	546	2639
12	609	2670
13	662	2650
14	721	2646
15	860	2902
16	888	2771
17	939	2713
18	990	2657
19	1073	2684
20	1189	2776
21	1294	2823
22	1458	2981
23	1511	2897
24	1558	2805
25	1588	2689
26	1636	2606
27	1684	2526
28	1716	2426
29	1813	2418
30	1829	2301
31	1839	2184
32	1874	2101
33	1891	2002
34	1905	1905
35	1919	1812
36	1930	1721
37	1947	1639
38	2030	1614
39	2070	1552
40	2104	1488
41	2141	1427
42	2152	1351
43	2168	1281
44	2205	1225
45	2252	1175
46	2271	1111
47	2285	1047
48	2294	983
49	2310	924
50	2318	863
51	2328	805
52	2350	754
53	2364	700
54	2389	651
55	2399	599
56	2408	549
57	2419	500
58	2427	452
59	2454	409
60	2463	363
61	2478	319
62	2490	276
63	2506	234
64	2538	195
65	2569	155
66	2581	115
67	2596	76
68	2661	38
69	2693	0
